report,source,authored_at,author,status,incident_title,incident_category,important,place_name,note,Relevant
Eeeiiiii so peepz ddn slp cos of d elections.....#ghanadecides,Twitter,12/9/12 6:22,Gob3r_Gob3lee,,,,,,,
I can't lie I'm loving this #ghanadecides #ghanaelections feel more invested in this election then any other I've participated in!,Twitter,12/9/12 6:28,ChanglingGh,,,,,,,
The northern region no try for JohnDramaniMahama kraaa. Tribal politics I guess,Twitter,12/9/12 6:28,Ladipo_GH,,,,,,,
"@ghanadecides I felt in love with your elections, very peaceful",Twitter,12/9/12 6:39,frank_omondi,,,,,,,
"261 constituencies called, JohnDramaniMahama 50.35% NanaAkufo-Addo 48.05% 14 more constituencies to including Atebubu #ghanaelections #ghanadecides",Twitter,12/9/12 6:42,EdwardOhenebeng,,,,,,,
People are waiting anxiously to know who will be crowned president of the Republic of Ghana. #onedirection #ghanaelections #ghanadecides,Twitter,12/9/12 6:47,EdwardOhenebeng,,,,,,,
"Since #ghanaelections started, there has been 28,785 visits to http://t.co/1CTNUIIr. #ghanadecides   --... http://t.co/R5lJW2zc",Twitter,12/9/12 6:56,VoteKastGH,,,,,,,
#tooclosetocall #ghanaelections #ghanadecides 2012 anything more than 50% is a win based on Ghana constitution. Therefore 50.01% could win,Twitter,12/9/12 6:56,EdwardOhenebeng,,,,,,,
BREAKING NEWS: Adom Kasee Calls Election For JohnDramaniMahama http://t.co/galf7ZJF #ghanadecides #ghanaelections,Twitter,12/9/12 7:04,ghanaTube,,,,,,,
"If there shd be a run off,both parties may need to educate its people on the ballot papers. #RBP #ghanadecides",Twitter,12/9/12 7:09,kobbyblay,,,,,,,
NanaAkufo-Addo preparing to give his concession speech to accept defeat. #ghanaelections #ghanadecides #ghelect,Twitter,12/9/12 7:13,EdwardOhenebeng,,,,,,,
JohnDramaniMahama hope you listen to the people of Ghana since they have put their trust in you. #ghanadecides #ghanaelections #ghelect president,Twitter,12/9/12 7:14,EdwardOhenebeng,,,,,,,
"#ghanaelections is now over and the winner has been called. Thanks to all those who voted, vigil for all the results. #ghanadecides",Twitter,12/9/12 7:16,EdwardOhenebeng,,,,,,,
Gul Agha Sherazi  Promised but this promised would never be fullfilled.The only link bridge b/w eastern region and Afg http://t.co/BnjWC0Db,Twitter,12/9/12 7:17,idrees337,,,,,,,
Business as usual Ghana. Please take it easy whichever party you voted for. Life must go on. #ghanaelections #ghanadecides,Twitter,12/9/12 7:18,EdwardOhenebeng,,,,,,,
""" #JohnMahama most likely to win"" according to Joy FM #ghanaelections2012 #ghanadecides #Ghana @djbadamah @alha06",Twitter,12/9/12 7:19,thePOEET,,,,,,,
Ghana you will get a chance in 4yrs time to choose another president. Happy peaceful election. #ghanaelections #ghanadecides,Twitter,12/9/12 7:23,EdwardOhenebeng,,,,,,,
#np sean kingston Back To Life. Congrats #jm  #ghanaelections #ghanadecides,Twitter,12/9/12 7:25,mjavada,,,,,,,
Time to give accounts: why NDC won n why NPP lost? Who voted for what policies n why? Answers lay with voters. #ghanaelections #ghanadecides,Twitter,12/9/12 7:28,EdwardOhenebeng,,,,,,,
@lydiaforson JohnDramaniMahama is the President elect of the Republic of Ghana. #ghanaelections #ghanadecides,Twitter,12/9/12 7:30,EdwardOhenebeng,,,,,,,
@EdwardOhenebeng #ghanaelections #ghanadecides I guess people voted for sincerity as against deceit and lies.,Twitter,12/9/12 7:37,LeoStanlexy,,,,,,,
"If everything you want, you get, then there's no beggars on the road...elections, over Christmas welcome #ghanadecides",Twitter,12/9/12 7:39,kyeijoseph7,,,,,,,
Ghana needs to invest in technology and encourage entrepreneurs. Jobs jobs jobs #ghanaelections #ghanadecides,Twitter,12/9/12 7:43,EdwardOhenebeng,,,,,,,
Teach a man how to fish not how to eat. #ghanaelections #ghanadecides  invest in the youth. Eradicate corruption and bribery. #ghana,Twitter,12/9/12 7:45,EdwardOhenebeng,,,,,,,
#Ghana now has #johnthe4th as #president @JohnDramaniMahama @TeamNDC @jagyenim @Joy997FM @ghanadecides #ghanaelections2012 #ghanadecides,Twitter,12/9/12 7:47,thePOEET,,,,,,,
Good luck people of Ghana. #4moreyears for another chance to make ur voices heard again #ghanadecides #ghanaelections,Twitter,12/9/12 7:48,EdwardOhenebeng,,,,,,,
What would be the governing style of #johnthe4th? @SKwameappiah @jagyenim @Joy997FM @alha06 #ghanadecides #ghanaelections2012 #Ghana,Twitter,12/9/12 7:54,thePOEET,,,,,,,
BREAKING NEWS: Joy News projects that President JohnDramaniMahama likely to win the 2012 presidential elections. #ghanaelections,Twitter,12/9/12 7:54,MsAbenaAnnan,,,,,,,
"whats the mood at #NDC HQ?, and at #NPP HQ I dare ask? @SKwameappiah @jagyenim @TeamNDC @nppfuture #ghanaelections2012 #ghanadecides",Twitter,12/9/12 8:01,thePOEET,,,,,,,
Free fair and transparent elections #ghanadecides,Twitter,12/9/12 8:02,wyzzle_RoyalToe,,,,,,,
BREAKING NEWS: Not yet officially declared by the EC but President JohnDramaniMahama has won the 2012 presidential elections. #ghanaelections,Twitter,12/9/12 8:06,MsAbenaAnnan,,,,,,,
#NDC is trending! https://t.co/BAKFeFo4 @TeamNDC #ghanaelections2012 #ghanadecides #ghana,Twitter,12/9/12 8:07,thePOEET,,,,,,,
"ndc win for northern region , wow ... we r getting closer to npp",Twitter,12/9/12 8:15,elniel_gh,,,,,,,
