report,source,authored_at,author,status,incident_title,incident_category,important,place_name,note
SMS: AEP Some polling stations are using torch lights and rechargeable lights to sort and count the ballot papers #ghanaelections,Ghana Votes Facebook,12/7/2012 23:21,Ghana Votes,resolved,Late ballot materials,Delayed Logistics,yes,,"tweet back ""the materials re in n they re setting up.Hopefully voting will start very soon"""
"@peacefmonline  i'm just sittn, waitn and watchn http://t.co/XshmLKzC. when is the stats due to flow? #ghanadecides #ghanaelections",Twitter,12/7/2012 23:18,lloyd_Qx,,,,,,
"@Facosh the Ashanti regional police commander on joy fm says no ballot boxes were snatched in kumasi, so where frm dis fake stories?",Twitter,12/7/2012 23:23,Ghandipep,,,,,,
i have said dis b4 but i'll say it again...dis elections will be the MOST PEACEFUL ELECTIONS EVER in our history #ghanadecides @GhanaDecides,Twitter,12/7/2012 23:24,kwahmi,,,,no,,
"I dey wonda sef! NDC wan *steal* ""@skerypages: Hmmm so the ballot boxes are gonna be in the hands of the police huh ? Hmmmmmmmm""",Twitter,12/7/2012 23:27,YoungDrCream,,,,,,
"AdomTV reports: Karaga PNC (party) Chairman,Alhassan Zein,dies in a motorbike accident on his way to cast vote. ghanaelections #ghanadecides",Twitter,12/7/2012 23:30,roylings,,,,,,
"Karaga PNC (party) Chairman, Alhassan Zein, dies in a motorbike accident on his way to cast vote. #ghanaelections #ghanadecides",Twitter,12/7/2012 23:30,quabyna88,,,,,,
79% turnout in Ghana elections. Impressive. #ghanadecides,Twitter,12/9/2012 21:14,kenyanpundit,,,,,,
What for? RT @bigxghdotcom: President JohnDramaniMahama is meeting the press tomorrow at Cantoments. 6AM sharp. #ghanadecides #ghanaelections,Twitter,12/7/2012 23:31,QwajoJedidiah,,,,,,
#ghanadecides #ghanaelections LIVE STREAMING: Ghana Decides: Citi FM Election LIVE Coverage http://t.co/0dLSh3zo,Twitter,12/7/2012 23:37,ghanaTube,,,,,,
"Exactly ma point chaar ""@YoungDrCream: I dey wonda sef! NDC wan *steal* ""@skerypages: Hmmm so the ballot boxes are gonna be in the hands of",Twitter,12/7/2012 23:38,skerypages,,,,,,
"Adom TV reports: Karaga PNC (party) Chairman, Alhassan Zein, dies in a motorbike accident on his way to cast vote.  #ghanadecides",Twitter,12/7/2012 23:39,SarDineOiL_911,,,,,,
"Northern has more voters than the 2 upper! ""@_sLEEK_WILL: Upper east n west awaits â€œ@YoungDrCream NPP is gaining vote in Northern region """,Twitter,12/7/2012 23:39,YoungDrCream,,,,,,
GOD will punish you all NDC men.dem send guns to bantama to claim the box.Wey  gun shot nd things life Paa.GOd will see us through,Twitter,12/8/2012 0:02,equitygideon,resolved,Ballot box stolen at bantama,Fraud,,"Bantama, Kumasi","Ballot box stolen at Bantama Kumasi
Kelldick 12:11

Osborn - 12:24
No verification and tweets about incident.
Ballot box found.


Joyce- 01:57am
According to Jerry, no ballot box has been stolen. Instead, there has been violence and the Police and the Military are trying to restore order in the area."
There's gunshot in Adenta. Fracese Assiam is bent on NOT conceding to her NDC compatriot.The boxes r in the polices grips.c wat they r doing,Twitter,12/7/2012 23:59,Itz_ChrisLokko,ignored,Gunshots in Adenta,Violence,yes,Adenta,"Francis - 00:10

Lenny 12:14AM, contacting the reporter for more information; he only spoke of how the NPP parliamentarian wasn't ready to concede. 
l tweeted back to get more information on polling station number and name. l waited  for a reply till 2:22 but had none.
"
